element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
B,2,"=""429.571""","=""0.010""","=""429.571""","=""0.009""","=""50""","=""""",,"=""21.150629""","=""24.03605""","=""1s2.2s.4p""","=""1P*""","=""1""","=""1s2.2s.7d""","=""1D""","=""2""",,"=""""","=""L12120""",
Ar,1,"=""430.0101""","=""""","=""430.01009""","=""""","=""100""","=""3.77e+05""",B+,"=""11.62359272""","=""14.50606764""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""T5223""","=""L2634""",
Ar,1,"=""433.3561""","=""""","=""433.35612""","=""""","=""100""","=""5.7e+05""",B+,"=""11.82807116""","=""14.68829030""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
Ar,1,"=""433.5338""","=""""","=""433.53378""","=""""","=""50""","=""3.9e+05""",C+,"=""11.82807116""","=""14.68711824""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
Ar,1,"=""434.5168""","=""""","=""434.51679""","=""""","=""25""","=""3.0e+05""",B,"=""11.82807116""","=""14.68065033""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
N,1,"=""""","=""""","=""435.629""","=""""","=""""","=""5.10e+06""",C+,"=""12.0096116""","=""14.85491""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""",,"=""T5714""","=""""",
Ar,1,"=""""","=""""","=""436.37949""","=""""","=""""","=""1.20e+04""",B,"=""11.62359272""","=""14.46399577""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""""",
N,1,"=""""","=""""","=""438.554""","=""""","=""""","=""8.84e+05""",C,"=""12.1219574""","=""14.94828""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""""","=""439.241""","=""""","=""""","=""1.76e+06""",C,"=""12.1263787""","=""14.94828""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""u18,LS""","=""""",
Ar,1,"=""""","=""""","=""442.39944""","=""""","=""""","=""7.3e+03""",C+,"=""11.72316039""","=""14.52491330""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""""",
B,2,"=""443.15""","=""0.05""","=""443.110""","=""0.024""","=""14*""","=""""",,"=""24.85612""","=""27.65337""","=""1s2.2p.3d""","=""3D*""","=""1""","=""1s2.2p.4f""","=""3F""","=""2""",,"=""""","=""L12120""",
B,2,"=""443.15""","=""0.05""","=""443.185""","=""0.024""","=""14*""","=""""",,"=""24.85659""","=""27.65337""","=""1s2.2p.3d""","=""3D*""","=""2""","=""1s2.2p.4f""","=""3F""","=""3""",,"=""""","=""L12120""",
B,2,"=""443.15""","=""0.05""","=""443.291""","=""0.024""","=""14*""","=""""",,"=""24.85725""","=""27.65337""","=""1s2.2p.3d""","=""3D*""","=""3""","=""1s2.2p.4f""","=""3F""","=""4""",,"=""""","=""L12120""",
N,1,"=""""","=""""","=""443.511""","=""""","=""""","=""2.99e+06""",C,"=""12.1219574""","=""14.91669""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""443.543""","=""""","=""""","=""7.51e+05""",C,"=""12.1219574""","=""14.91649""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""444.214""","=""""","=""""","=""1.41e+06""",C,"=""12.1263787""","=""14.91669""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
